Dr. Martin Pätzold,0,1,0,0,0
Dr. Martin Rosemann,0,1,1,1,0
Dr. Martin Schwanholz,1,0,0,0,0
Dr. Martina Bunge,1,0,0,0,0
Dr. Mathias Edwin Höschel,0,1,0,0,0
Dr. Mathias Middelberg,1,1,1,1,0
Dr. Matthias Bartke,0,1,1,0,0
Dr. Matthias Heider,1,1,1,0,0
Dr. Matthias Miersch,1,1,1,1,0
Dr. Matthias Zimmer,1,1,1,0,0
Dr. Max Lehmer,1,0,0,0,0
Dr. Max Stadler,1,0,0,0,0
Dr. Michael Espendiller,0,0,1,1,0
Dr. Michael Fuchs,1,1,0,0,0
Dr. Michael Kaufmann,0,0,0,1,0
Dr. Michael Luther,1,0,0,0,0
Dr. Michael Meister,1,1,1,1,0
Dr. Michael Paul,1,0,0,0,0
Dr. Michael von Abercron,0,0,1,0,0
Dr. Nils Schmid,0,0,1,1,0
Dr. Nina Scheer,0,1,1,1,0
Dr. Norbert Lammert,1,1,0,0,0
Dr. Norbert Röttgen,1,1,1,1,0
Dr. Ole Schröder,1,1,0,0,0
Dr. Oliver Vogt,0,0,0,1,0
Dr. Ophelia Nick,0,0,0,1,0
Dr. Ottilie Klein,0,0,0,1,0
Dr. Patrick Sensburg,1,1,1,0,0
Dr. Paula Piechotta,0,0,0,1,0
Dr. Peter Danckert,1,0,0,0,0
Dr. Peter Gauweiler,1,1,0,0,0
Dr. Peter Ramsauer,1,1,1,1,0
Dr. Peter Röhlinger,1,0,0,0,0
Dr. Peter Tauber,1,1,1,0,0
Dr. Petra Sitte,1,1,1,1,0
Dr. Philipp Lengsfeld,0,1,0,0,0
Dr. Philipp Murmann,1,1,0,0,0
Dr. Rainer Kraft,0,0,1,1,0
Dr. Rainer Rothfuß,0,0,0,1,0
Dr. Rainer Stinner,1,0,0,0,0
Dr. Ralf Brauksiepe,1,1,1,0,0
Dr. Ralf Stegner,0,0,0,1,0
Dr. Reinhard Brandl,1,1,1,1,0
Dr. Robby Schlund,0,0,1,0,0
Dr. Robert Habeck,0,0,0,1,0
Dr. Roland Hartwig,0,0,1,0,0
Dr. Rolf Koschorrek,1,0,0,0,0
Dr. Rolf Mützenich,1,1,1,1,0
Dr. Rosemarie Hein,1,1,0,0,0
Dr. Roy Kühne,0,1,1,0,0
